paper_id,title,doi,journal_id,publication_date,publication_year,volume,issue,abstract,keywords,pdf_url,citation_count
31,Disentangled diffusion models for probabilistic spatio-temporal traffic forecasting,10.1007/s40747-025-02094-2,3,2025-09-13,2025,Volume 11,Issue 10,"With the widespread deployment of traffic sensors and the continuous advancement of sensor technology, accurate traffic prediction has become increasingly feasible. However, existing traffic prediction methods face significant challenges in addressing the inherent uncertainty present in traffic data. These methods typically rely on deterministic models, which struggle to capture and represent the random fluctuations and sudden changes within traffic data, limiting the reliability and accuracy of their predictions. To overcome this issue, we introduce a non-autoregressive diffusion model specifically designed for traffic prediction. Our model aims to capture the inherent uncertainty and complex spatio-temporal dynamics of traffic data by quantifying uncertainty through a diffusion model and learning spatio-temporal dependencies via a spatio-temporal graph neural network. Additionally, to better capture the relationship between frequency components and uncertainty, we employ discrete wavelet decomposition. This technique separates the high-frequency and low-frequency information, which are processed independently within a dual-channel spatio-temporal network. By decoupling these components, we can apply targeted denoising strategies to each frequency band during the diffusion process. This enables more accurate modeling of uncertainty and improved predictions. We evaluate our model on multiple real-world traffic datasets, and the experimental results demonstrate that it outperforms state-of-the-art probabilistic models.","Spatio-temporal, Traffic forecasting, Diffusion model, Graph convolutional network",https://link.springer.com/article/10.1007/s40747-025-02094-2,0
32,Optimized edge weighting in graph neural networks for server performance anomaly detection,10.1007/s40747-025-02069-3,3,2025-09-12,2025,Volume 11,Issue 10,"Server performance anomaly detection is a critical task in data science and system management, aiming to identify unusual patterns in server performance metrics. However, server data often exhibits high dimensionality and complexity, which makes it challenging to detect subtle and rare anomalies. Accurately modeling the relationships between various performance indicators, such as CPU load, memory usage, and network bandwidth, is especially difficult. Moreover, the scarcity of labeled anomaly data for training supervised models can limit the effectiveness of traditional anomaly detection methods. To address these challenges, we propose a novel method called POINGRAPH-AE(Poincare Embedding + Graph Attention Networks + Auto Encoder). It enhances anomaly detection performance by embedding server performance data into a graph structure, allowing us to capture both spatial and dependencies more effectively. Additionally, we incorporate a gain factor to improve edge weight modeling, ensuring that spatial relationships are preserved. Experimental results demonstrate that optimizing edge weights significantly improves detection performance, outperforming traditional methods. We propose an edge weight-based analysis method using graph neural networks, which provides interpretable detection results and offers insights into the anomaly’s context. The proposed method is shown to be robust and scalable, making it well-suited for detecting anomalies in complex, multimodal server performance data.","Anomaly detection, Graph Neural Network, Hyperbolic space, Data mining, Cybersecurity",https://link.springer.com/article/10.1007/s40747-025-02069-3,0
33,Hyperspectral and Multispectral Image Fusion with Arbitrary Resolution Through Self-Supervised Representations,10.1007/s11263-025-02540-1,4,2025-08-03,2025,Volume 133,Issue 11,"The fusion of a low-resolution hyperspectral image (LR-HSI) with a high-resolution multispectral image (HR-MSI) has emerged as an effective technique for achieving HSI super-resolution (SR). Previous studies have mainly concentrated on estimating the posterior distribution of the latent high-resolution hyperspectral image (HR-HSI), leveraging an appropriate image prior and likelihood computed from the discrepancy between the latent HSI and observed images. Low rankness stands out for preserving latent HSI characteristics through matrix factorization among the various priors. However, a key limitation in previous studies is the lack of generalization in fusion models with fixed resolution scales, which require retraining whenever higher output resolutions are needed. To overcome this limitation, we propose a novel continuous low-rank factorization (CLoRF) by integrating two neural representations into the matrix factorization, capturing spatial and spectral information, respectively. This approach harnesses both the low rankness from the matrix factorization and the continuity from neural representation in a self-supervised manner. By adhering to the inherently continuous nature of the underlying hyperspectral image, CLoRF recovers this data in continuous form, enabling the subsequent generation of discrete hyperspectral images at arbitrarily higher spatial or spectral resolutions. Theoretically, we prove the low-rank property and Lipschitz continuity in the proposed continuous low-rank factorization. Experimentally, our method significantly surpasses existing techniques and achieves user-desired resolutions without the need for neural network retraining. Code is available at https://github.com/wangting1907/CLoRF-Fusion.","Low-rank factorization, Arbitrary resolution, Image-fusion, Continous representation",https://link.springer.com/article/10.1007/s11263-025-02540-1,0
34,Enhancing HDR Imaging with Joint Denoising and Deblurring,10.1007/s11263-025-02537-w,4,2025-08-04,2025,Volume 133,Issue 11,"Considerable progress has been made in high dynamic range (HDR) image reconstruction from multi-exposure low dynamic range (LDR) frames in recent years. Despite achieving satisfactory HDR results while handling the misalignment among LDR frames, previous studies pay less attention to a prevalent but more crucial concern: the significant noise and motion blur that exist in multi-exposure frames captured by a handheld camera. To overcome these extensive and challenging corruptions, we achieve the HDR imaging task from two key aspects: First, due to the absence of related datasets, previous learning-based methods struggle with performing high-quality HDR imaging when the input LDR frames are confronted with real-world image noise and motion blur. Recognizing the importance of this aspect, we propose the first available realistic dataset based on the real-world burst imaging pipeline for training and evaluating different methods in the joint HDR imaging, denoising, and deblurring task. Second, due to the corruption-insensitive of previous network architectures, we propose a novel and efficient attention-based multi-exposure HDR imaging method, which skillfully selects the optimal information (clean or sharp) from corrupted LDR inputs by our customized cross-attention mechanism to generate HDR information. Furthermore, to enhance the robustness of our cross-attention mechanism, we introduce a novel Entropy Decreasing loss (ED loss) which decreases the entropy of the calculated attention map to alleviate the ghosting artifacts during multi-exposure information fusion. Extensive experimental results demonstrate that the proposed method trained on the proposed dataset surpasses related state-of-the-art methods with outstanding real-world photography quality. Codes and the dataset will be available.","HDR dataset, Multi-exposure HDR Imaging, Image Restoration, Cross-attention Mechanism",https://link.springer.com/article/10.1007/s11263-025-02537-w,0
35,DM-PCL: Text-Driven Dual-Modal Prototype Consistency Learning for Weakly-Supervised Few-Shot Part Segmentation,10.1007/s11263-025-02545-w,4,2025-08-04,2025,Volume 133,Issue 11,"Few-shot part segmentation is essential for fine-grained visual understanding, but it remains challenging in the absence of pixel-level annotations. This motivates us to introduce a more practical task setting, weakly-supervised few-shot part segmentation, where only part-level textual labels (e.g., textual part descriptions) are provided for support images. This setting is quite challenging due to the semantic-visual gap and lack of pixel-level supervision. To address this challenge, we propose text-driven dual-modal prototype consistency learning (DM-PCL), which predicts pseudo masks for both support and query images using part-level textual labels and learns consistent part prototypes across diverse images and modalities to facilitate accurate part segmentation. Specifically, DM-PCL introduces: (i) a pseudo mask generation (PMG) module, which generates pseudo masks by comparing image features with textual part prototypes derived from part-level textual labels; (ii) a text-driven spatial interaction (TSI) module that enriches visual features with semantic knowledge to enhance part perception; and (iii) a dual-modal prototype consistency learning (DPCL) module that enforces consistency between part prototypes across different images and modalities. Final segmentation is performed by comparing query features with both visual and textual part prototypes via a dual-modal cooperative segmentation strategy. Extensive experiments on benchmark datasets demonstrate that our method significantly outperforms existing approaches, achieving the state-of-the-art performance in weakly-supervised few-shot part segmentation.  ","Weakly-supervised, Few-shot part segmentation,Text-driven spatial interaction, Dual-modal prototype consistency learning, Dual-modal cooperative segmentation",https://link.springer.com/article/10.1007/s11263-025-02545-w,0
36,Learning Refractive-Diffractive Optics with Unidirectional Transformer for Large Field-of-View Imaging,10.1007/s11263-025-02546-9,4,2025-08-06,2025,Volume 133,Issue 11,"With advancements in digital imaging, the demand for large field-of-view (FoV) imaging has been steadily increasing in various domains, including autonomous driving, augmented reality, and video surveillance. The hybrid refractive-diffractive lens, which combines the high focusing efficiency of refractive lenses with the design flexibility of diffractive lenses, holds significant promise for developing large FoV imaging systems. However, the popular deep optics faces two major challenges in globally optimizing the hybrid refractive-diffractive lens and the image restoration algorithm in an end-to-end manner. First, existing direction-independent degradation models fail to accurately compute the additional phase introduced by refractive lenses, making them inadequate for describing hybrid refractive-diffractive lenses in large FoV imaging. Second, Transformer-based restoration algorithms do not consider the degradation property of lenses, thereby limiting the quality of restored images. In this paper, we propose a differentiable end-to-end optimization framework to address these challenges, including a direction-dependent degradation model for hybrid refractive-diffractive lenses and an FoV-guided image restoration algorithm that accounts for quality variations among measured patches. Specifically, we integrate the angular spectrum method (ASM) with ray tracing to compute the additional phase of the refractive lens, facilitating the computation of the point spread function (PSF) for different FoVs. Furthermore, we encode the quality variation as a unidirectional guidance relationship within the Transformer to mitigate errors in restoration guidance. Based on the optimization results, we develop a physical system and validate the effectiveness of the proposed method in both simulation and real-world scenes.  ","Deep optics, Large field-of-view imaging, Hybrid refractive-diffractrive lens, Degradation model, Image restoration",https://link.springer.com/article/10.1007/s11263-025-02546-9,0
37,Beyond Image Prior: Embedding Noise Prior into Latent Space of Conditional Denoising Transformer,10.1007/s11263-025-02553-w,4,2025-08-06,2025,Volume 133,Issue 11,"Existing learning-based denoising methods typically train models to generalize the image prior from large-scale datasets, suffering from the variability in noise distributions encountered in real-world scenarios. In this work, we propose a new perspective on the denoising challenge by highlighting the distinct separation between noise and image priors. This insight forms the basis for our development of conditional optimization framework, designed to overcome the constraints of traditional denoising framework. To this end, we introduce a Locally Noise Prior Estimation (LoNPE) algorithm, which accurately estimates the noise prior directly from a single raw noisy image. This estimation acts as an explicit prior representation of the camera sensor’s imaging environment, distinct from the image prior of scenes. Additionally, we design an auxiliary learnable LoNPE network tailored for practical application to sRGB noisy images. Leveraging the estimated noise prior, we present a novel Conditional Denoising Transformer (Condformer), by incorporating the noise prior into a conditional self-attention mechanism. This integration allows the Condformer to segment the optimization process into multiple explicit subspaces, significantly enhancing the model’s generalization and flexibility. Extensive experimental evaluations on both synthetic and real-world datasets, demonstrate that the proposed method achieves superior performance over current state-of-the-art methods. The source code is available at https://github.com/BNU-ERC-ITEA/Condformer.  ","Image denoising, Video Transformer, Noise modeling, Conditional optimization",https://link.springer.com/article/10.1007/s11263-025-02553-w,0
38,Feature Hallucination for Self-supervised Action Recognition,10.1007/s11263-025-02513-4,4,2025-08-07,2025,Volume 133,Issue 11,"Understanding human actions in videos requires more than raw pixel analysis; it relies on high-level semantic reasoning and effective integration of multimodal features. We propose a deep translational action recognition framework that enhances recognition accuracy by jointly predicting action concepts and auxiliary features from RGB video frames. At test time, hallucination streams infer missing cues, enriching feature representations without increasing computational overhead. To focus on action-relevant regions beyond raw pixels, we introduce two novel domain-specific descriptors. Object Detection Features (ODF) aggregate outputs from multiple object detectors to capture contextual cues, while Saliency Detection Features (SDF) highlight spatial and intensity patterns crucial for action recognition. Our framework seamlessly integrates these descriptors with auxiliary modalities such as optical flow, Improved Dense Trajectories, skeleton data, and audio cues. It remains compatible with state-of-the-art architectures, including I3D, AssembleNet, Video Transformer Network, FASTER, and recent models like VideoMAE V2 and InternVideo2. To handle uncertainty in auxiliary features, we incorporate aleatoric uncertainty modeling in the hallucination step and introduce a robust loss function to mitigate feature noise. Our multimodal self-supervised action recognition framework achieves state-of-the-art performance on multiple benchmarks, including Kinetics-400, Kinetics-600, and Something-Something V2, demonstrating its effectiveness in capturing fine-grained action dynamics.","Multimodal, self-supervision, Action recognition, Uncertainity modeling, Feature hallucination, Optical flow, Skeleton, Audio, Object detection, Saliency detection, Domain-specific descriptor, Fine-grained recognition",https://link.springer.com/article/10.1007/s11263-025-02513-4,0
39,Positive-Augmented Contrastive Learning for Vision-and-Language Evaluation and Training,10.1007/s11263-025-02535-y,4,2025-08-07,2025,Volume 133,Issue 11,"Despite significant advancements in caption generation, existing evaluation metrics often fail to capture the full quality or fine-grained details of captions. This is mainly due to their reliance on non-specific human-written references or noisy pre-training data. Still, finding an effective metric is crucial not only for captions evaluation but also for the generation phase. Metrics can indeed play a key role in the fine-tuning stage of captioning models, ultimately enhancing the quality of the generated captions. In this paper, we propose PAC-S++, a learnable metric that leverages the CLIP model, pre-trained on both web-collected and cleaned data and regularized through additional pairs of generated visual and textual positive samples. Exploiting this stronger and curated pre-training, we also apply PAC-S++ as a reward in the Self-Critical Sequence Training (SCST) stage typically employed to fine-tune captioning models. Extensive experiments on different image and video datasets highlight the effectiveness of PAC-S++ compared to popular metrics for the task, including its sensitivity to object hallucinations. Furthermore, we show that integrating PAC-S++ into the fine-tuning stage of a captioning model results in semantically richer captions with fewer repetitions and grammatical errors. Evaluations on out-of-domain benchmarks further demonstrate the efficacy of our fine-tuning approach in enhancing model capabilities. Source code and trained models are publicly available at: https://github.com/aimagelab/pacscore.  ","Captioning evaluation, Contrastive learning, Vision-and-language, Multimodal learning",https://link.springer.com/article/10.1007/s11263-025-02535-y,0
40,Analysing Satellite Imagery Classification under Spatial Domain Shift across Geographic Regions,10.1007/s11263-025-02518-z,4,2025-08-08,2025,Volume 133,Issue 11,"Deep learning models are designed based on the i.i.d. assumption; consequently, they experience a significant performance drop due to the distribution shifts when deployed in real environments. Domain Generalisation (DG) aims to bridge the distribution shift between the source and target domains by improving the generalisability of the model to Out-Of-Distribution (OOD) data. This challenge is prominent in satellite imagery classification due to the scarcity of data from underrepresented regions such as Africa and Oceania. In this paper, we address the limitations of existing datasets in capturing distribution shifts caused by geospatial differences between geographic regions by constructing a new, large-scale dataset called Domain Shift across Geographic Regions (DSGR). This dataset aims to help researchers better understand the impact of distribution shifts on satellite imagery classification. Furthermore, we perform rigorous experiments on DSGR to investigate and benchmark the robustness of existing DG techniques under single- and multi-source domain settings and the role of foundation models in enhancing the DG techniques. Our evaluations reveal that recent DG techniques have a comparable, yet weak, performance on DSGR. However, when combined with a foundation model like CLIP, ERM (introduced in 1999) achieves highly competitive results, surpassing even recent state-of-the-art DG solutions in enhancing the generalisability of deep learning models across different geographic regions. Our dataset and code are available at https://github.com/RWGAI/DSGR.","Domain Generalisation, Distribution shift, Out-of-Distribution Generalization, Domain Shift, Land Use Classification, Remote Sensing",https://link.springer.com/article/10.1007/s11263-025-02518-z,0
41,Sample-Aware RandAugment: Search-Free Automatic Data Augmentation for Effective Image Recognition,10.1007/s11263-025-02536-x,4,2025-08-08,2025,Volume 133,Issue 11,"Automatic data augmentation (AutoDA) plays an important role in enhancing the generalization of neural networks. However, mainstream AutoDA methods often encounter two challenges: either the search process is excessively time-consuming, hindering practical application, or the performance is suboptimal due to insufficient policy adaptation during training. To address these issues, we propose Sample-aware RandAugment (SRA), an asymmetric, search-free AutoDA method that dynamically adjusts augmentation policies while maintaining straightforward implementation. SRA incorporates a heuristic scoring module that evaluates the complexity of the original training data, enabling the application of tailored augmentations for each sample. Additionally, an asymmetric augmentation strategy is employed to maximize the potential of this scoring module. In multiple experimental settings, SRA narrows the performance gap between search-based and search-free AutoDA methods, achieving a state-of-the-art Top-1 accuracy of 78.31% on ImageNet with ResNet-50. Notably, SRA demonstrates good compatibility with existing augmentation pipelines and solid generalization across new tasks, without requiring hyperparameter tuning. The pretrained models leveraging SRA also enhance recognition in downstream object detection tasks. SRA represents a promising step towards simpler, more effective, and practical AutoDA designs applicable to a variety of future tasks. Our code is available at https://github.com/ainieli/Sample-awareRandAugment.  ","Data augmentation, AutoML, supervised learning, image recognition",https://link.springer.com/article/10.1007/s11263-025-02536-x,0
42,LvBench: A Benchmark for Long-form Video Understanding with Versatile Multi-modal Question Answering,10.1007/s11263-025-02555-8,4,2025-08-08,2025,Volume 133,Issue 11,"Despite remarkable recent progress, existing long-form VideoQA datasets fall short of meeting the criteria for genuine long-form video understanding. This is primarily due to the use of short videos for question curation, and the reliance on limited-length sub-clips as clues to answer those questions. Meanwhile, previous datasets have limited focus on question type and modality. To remedy this, we introduce LvBench, a Long-form Video understanding Benchmark for versatile multi-modal question-answering. Our LvBench stands out from existing long-form VideoQA datasets through three key characteristics: 1) Extended temporal durations: We consider videos ranging from 70 seconds to 4 hours, covering single-scene, multi-scene, and full-scene contexts. This design accounts for both video and clue lengths, capturing diverse contextual dynamics. 2) Diverse question types and modalities: LvBench introduces six distinct question types that evaluate various perceptual and cognitive capabilities, utilizing both video frames and subtitles. 3) High-quality annotations: We employ rigorous manual labeling by human annotators. Our dataset comprises 20,061 question-answer pairs sourced from 100 carefully selected movies across diverse genres, annotated collaboratively by multiple individuals. Analysis involving various baselines reveals a consistent trend: the performance of all existing methods significantly deteriorates when video and clue length increases. We expect LvBench to serve as a valuable resource for future works on long-form video understanding.","Long-form, VideoQA, Video Understanding, Multi-modal",https://link.springer.com/article/10.1007/s11263-025-02555-8,0
43,A comprehensive review of optimization approaches of district cooling systems,10.1007/s12065-025-01097-9,5,2025-09-30,2025,Volume 18,Issue 5,"The integration of district cooling technology into smart energy networks powered by renewable energy sources presents significant opportunities for advancing decarbonization of the cooling sector and supporting progress towards global net-zero targets. These systems leverage advanced modelling and optimization to evaluate design configurations, operational strategies, and cross-sectoral coupling, while capturing complex thermohydraulic interactions and spatiotemporal variability. This review offers a comprehensive synthesis of methodological developments, positioning district cooling systems optimization as a distinct and emerging research domain. This study underscores past achievements, current trends, and emerging opportunities, while identifying critical research gaps and deployment challenges within optimization frameworks. By examining both design and operational phases, it offers focused insights into crucial areas shaping future development. The findings highlight the pivotal role of optimization strategies in enhancing economic, environmental, and technical performance, delivering benefits such as cost reduction, deep decarbonization through renewable integration, and improving energy efficiency. Despite notable progress, current methodologies remain limited in capturing the escalating complexity of broader system modelling, both under the emerging holistic approach and multi-domain interactions. The prevailing body of literature is largely characterized by fragmented contributions that, while demonstrating specific advancements, prove inadequate in fostering unified and scalable approaches. Advancing the field will require sustained interdisciplinary engagement, with particular emphasis on leveraging Artificial Intelligence (AI)-based metaheuristics to develop robust, scalable, and practically applicable collaborative-integrated-optimization frameworks capable of meeting the evolving challenges of sustainable district cooling technology within smart energy infrastructures and related domains.","District cooling system, Design optimization, Operational optimization, Smart energy networks, Energy efficiency",https://link.springer.com/article/10.1007/s12065-025-01097-9,0
44,Adaptive ant colony optimization for solving dynamic vehicle and drone routing with time window constraints,10.1007/s12065-025-01092-0,5,2025-09-30,2025,Volume 18,Issue 5,"This paper proposes a novel extension to the traditional Vehicle Routing Problem by introducing the Dynamic Vehicle Routing Problem with Drone considering Time Windows. This new problem incorporates dynamic request handling and the innovative use of drones to address delivery challenges within specific time constraints. To tackle Dynamic Vehicle Routing Problem with Drone considering Time Windows, we develop an adaptive Ant Colony Optimization algorithm. In which, initial routes are constructed to handle known requests, establishing a baseline solution. The algorithm adapts to real-time requests in the dynamic phase by transferring pheromone values between time steps to find the best solutions at each iteration. This mechanism effectively exploits past solutions and explores high-quality routes for new requests with strict time windows. Our proposed algorithm is validated through extensive experimental scenarios that simulate various spatial distributions and time-sensitive demands. Results show that our method produced high-quality solutions compared to existing heuristics and nature-inspired methods, particularly in complex environments with random requests and tight time constraints.  ","Dynamic vehicle and drone routing, Ant colony optimization, Evolutionary algorithm",https://link.springer.com/article/10.1007/s12065-025-01092-0,0
45,Quasi-opposition-based learning in a shuffled particle swarm optimization for solving frequency modulation sounds parameter identification problem,10.1007/s12065-025-01101-2,5,2025-09-30,2025,Volume 18,Issue 5,"This paper proposes novel variants of the shuffled particle swarm optimization (SPSO) algorithm for solving the frequency modulation sound parameter identification (FMSPI) problem. In the SPSO framework, the population is divided into several parallel groups, and each group undergoes an independent evolutionary process using particle swarm optimization (PSO). This study employs two distinct strategies to achieve an improved balance between the exploration and exploitation capabilities of the SPSO algorithm. First, it introduces a group-specific strategy for the inertia weight factor parameter, which is dynamically adjusted for each group during every iteration of the SPSO algorithm. Second, to facilitate an intensified search in promising regions of the solution space, a quasi-opposition-based strategy is incorporated into the SPSO. Experimental results on FMSPI problems demonstrate that the proposed strategies significantly enhance the performance of the SPSO algorithm. Also, in order to demonstrate the effectiveness of proposed algorithm, IEEE CEC2014 test set is used and the obtained results are compared against three other shuffled algorithms include: SFL, SCE and SDE. As evidenced the Wilcoxon signed-ranked test of reported results, the proposed algorithm demonstrates statistically superior performance versus all competitors.  ","Quasi-opposition-based learning, Shuffled particle swarm optimization, Frequency Modulation, Parameter identification, Inertia weight factor",https://link.springer.com/article/10.1007/s12065-025-01101-2,0
46,Intelligent parameters adaptation in fuzzy neural networks,10.1007/s12065-025-01095-x,5,2025-09-24,2025,Volume 18,Issue 5,"This paper addresses the offline handwritten signature recognition task, a challenging classification problem due to high intra-class variability and inter-class similarity. The objective is to accurately classify signature images into their corresponding identity classes, despite inherent uncertainty and imprecision in signature data. To address this, a convolutional neural network is employed for feature extraction, generating a robust representation of each signature-a discriminative and noise-tolerant feature vector that captures essential structural elements of the signature. These features are then classified using a Fuzzy Min-Max Neural Network, which excels in handling overlapping and ambiguous patterns. However, Fuzzy Min-Max Neural Network’s performance is highly sensitive to its parameters (vigilance threshold and sensitivity), often requiring time-consuming manual tuning. To overcome this limitation, an Evolution Strategy is proposed for automatic parameter optimization. This method uses an adaptive fitness function and a dynamic mutation strategy to efficiently explore the parameter space and accelerate convergence. The approach is validated on a proprietary offline signature dataset, and the results demonstrate that the proposed Evolution Strategy-Fuzzy Min-Max Neural Network system achieves superior accuracy, precision, and robustness compared to baseline and state-of-the-art methods.  ","Convolution neural network, Fuzzy min max classification, Evolution Strategy, Offline signature recognition",https://link.springer.com/article/10.1007/s12065-025-01095-x,0
47,Matrix-based particle swarm optimization with hybrid strategy for multi-traveling salesman problem,10.1007/s12065-025-01082-2,5,2025-09-22,2025,Volume 18,Issue 5,"The multiple traveling salesman problem (mTSP) is an extension of the traveling salesman problem, which involves multiple salespeople visiting a set of cities, with each city being visited only once. It is widely used in logistics distribution, traffic scheduling, and multi robot collaboration, but faces challenges such as high computational complexity, difficult task allocation, and susceptibility to local optimal solutions. Most existing methods focus on finding solutions from scratch, primarily aiming to minimize the total travel distance, with insufficient attention paid to balancing travel costs among salespeople. This article proposes a matrix based multi strategy integrated particle swarm optimization algorithm, which improves efficiency through matrix representation and parallel computing, and introduces a dynamic diversity mechanism to balance local and global search capabilities. In addition, a new fitness evaluation function has been designed to effectively address significant route differences among salespeople. Among the five typical TSP problems, the performance of this algorithm is superior to MPSO, HJSPSO and standard PSO algorithms. It significantly improves solving efficiency and enhances result balance. This study provides an efficient and robust solution for the mTSP problem, which has important theoretical significance and practical application value.  ","Evolutionary computation, Particle swarm optimization, Multiple travelling salesman problem, Optimization algorithms, MIMPSO",https://link.springer.com/article/10.1007/s12065-025-01082-2,0
48,"Emerging deep learning approaches for urban satellite image analysis: a survey on classification, segmentation, and change detection",10.1007/s12065-025-01090-2,5,2025-09-22,2025,Volume 18,Issue 5,"The study of urban satellite imagery has undergone a significant transformation due to the emergence of deep learning techniques. This survey thoroughly examines current progress in deep learning models designed for three primary tasks: classification, segmentation, and change detection in urban environments. A total of 114 reviewed studies were analyzed, including convolutional neural networks (CNNs), hybrid models, and transformer-based models such as ResNet, UNet++, HRNet, BR-Net, Mask2Former, TransCFCCNN, and STCD-EffV2T UNet. Prominent datasets such as EuroSAT, UC-Merced, SpaceNet, DeepGlobe, LEVIR-CD, and xBD were examined alongside performance metrics like accuracy, F1 score, IoU, precision, and recall, with results visualized through comparative bar plots. Our comparison analysis indicates that models such as GoogleNet, EfficientNet-B7, and MaxViT achieve classification accuracies over 99%, while segmentation models like Mask2Former and BR-Net exhibit IoU scores over 92%. STCD-EffV2T UNet achieves exceptional F1 scores of up to 98.79% for change detection. These models are crucial for urban development and environmental change monitoring, facilitating the classification of land cover types, segmentation of buildings, roads, and urban features, as well as the detection of urban and environmental changes. This study defines growing trends and challenges, incorporating model generalization, dataset diversity, and computing complexity. It additionally suggests future directions, including the use of Mamba Networks for scalable temporal modeling, the incorporation of Vision Transformers for enhanced feature extraction, and the utilization of GANs for dataset augmentation. This paper offers a comprehensive and systematic synthesis of deep learning methodologies, establishing a fundamental reference for subsequent research in urban satellite image analysis.  ","Urban satellite imagery, Deep learning techniques, Convolution neural networks, Classification, Segmentation, Change detection",https://link.springer.com/article/10.1007/s12065-025-01090-2,0
49,A Lightweight Mechanical Fault Diagnosis Network Driven by Cooperative Neuroevolution Algorithm,10.1007/s12065-025-01096-w,5,2025-09-22,2025,Volume 18,Issue 5,"Large-scale mechanical fault detection plays a critical role in industrial production, and neural networks have been widely adopted for this task. However, the performance of neural networks heavily depends on the optimization of their architecture and parameters. Traditional optimization methods such as gradient descent and particle swarm optimization can improve model performance to some extent, but they typically require adjusting all weights, which not only increases computational complexity but also often leads to redundant network structures. To address these challenges, this paper proposes a cooperative neuroevolution algorithm for constructing lightweight neural networks tailored for fault diagnosis tasks. The algorithm introduces two co-evolving populations-one dedicated to learning the critical weights of the neural network, and the other focused on optimizing the precise weight values. This approach enables the discovery of a sparsely connected, lightweight neural network. By decoupling and cooperatively optimizing network structure and weights, the algorithm can more efficiently explore the search space to identify models that are both compact and high-performing. To validate the effectiveness of the proposed algorithm, extensive experiments are conducted on multiple industrial datasets involving large-scale mechanical fault detection. The results demonstrate that the algorithm maintains high diagnostic accuracy while significantly reducing the number of model parameters. Compared to conventional evolutionary algorithms, it exhibits superior model compression capability and generalization performance.  ",,https://link.springer.com/article/10.1007/s12065-025-01096-w,0
50,Hybrid meta-heuristic strategy based on Firefly and Coyote optimization for area coverage enhancement in Directional Sensor Network,10.1007/s12065-025-01087-x,5,2025-09-16,2025,Volume 18,Issue 5,"Directional sensor network(DSN) utilize directional sensors with a limited field of view for focused monitoring. This directionality enhances energy efficiency by reducing unnecessary sensing and data transmission. These sensor enables precise monitoring of specific areas while minimizing data redundancy. Optimizing sensor orientation is crucial for maximizing area coverage in randomly deployed networks, particularly in inaccessible terrains. Effective orientation ensures maximum coverage, enhances monitoring efficiency, and reduces the need for costly redeployments in challenging environments. This paper proposes a novel Hybrid Firefly-Coyote Optimization Algorithm (HF-COA) to address this problem. A grid-based mathematical framework is proposed to evaluate area coverage. The proposed HF-COA achieves superior performance in maximizing area coverage due to its effective balance of exploration and exploitation. Experimental results demonstrate that HF-COA achieves superior coverage performance compared to standalone FA and COA, under varying sensor parameters. The proposed method offers a reliable solution for enhancing monitoring efficiency in complex and dynamic environments.  ",,https://link.springer.com/article/10.1007/s12065-025-01087-x,0
51,Implementation of a novel enhanced hybrid multi-objective osprey optimization algorithm for off-grid hybrid system sizing,10.1007/s12065-025-01083-1,5,2025-09-10,2025,Volume 18,Issue 5,"A novel enhanced hybrid multi-objective osprey optimization algorithm (EHMOOOA) is proposed in this research work. It is used here for the optimum sizing of an off-grid composite renewable energy sources-based framework comprising a photovoltaic (PV) system, wind turbine generators (WTs), and battery energy storage system (BESS). The system is modelled to supply the administrative block of Kalyani Government Engineering College, Kalyani, India. The novelties include the integration of the quasi-oppositional-based learning mechanism, composite solution-oriented differential evolution algorithm (CSODEA), and Brownian motion concept into the osprey optimization algorithm (OOA). The contribution lies in the development of two novel mutation mechanisms, three new scaling coefficients and advanced extraction strategies for the core vector and the primary predecessor solutions of the difference vectors. The final stage of the exploitation process presents a novel scheme for the location upgrade of the solutions employing Brownian motion. A mathematical configuration has been built to minimize three primary fitness functions: loss of power supply probability (LPSP), levelized cost of electrical energy (LCOE), and net present cost (NPC). For validation purposes, the performances of the proposed hybrid meta-heuristic algorithm are compared with five other powerful optimization algorithms. Eight standard CEC benchmark functions and three CEC2020 actual scenario-constrained optimization problem functions are employed here for the evaluation of the proposed algorithm. The suggested composite methodology yielded the lowest and optimum values of LCOE (0.3029 $/kWh), NPC (0.9184e+05 $), and LPSP (0.000541). The optimum contributions made by PV, WT, and BESS are 80.9%, 10%, and 9.1%, respectively. Validation of the suggested technique has been further carried out by conducting statistical performance analysis through standard deviations. The proposed technique yielded the lowest standard deviation values: 7.4330e-04 (LCOE), 376.8249 (NPC), and 1.9901e-06 (LPSP), respectively. Further, to validate the outcomes, the Shapiro-Wilk test is conducted, followed by the Welch-like ANOVA and Games-Howell post-hoc tests. Moreover, a sensitivity test is performed to evaluate the robustness of EHMOOOA.  ",,https://link.springer.com/article/10.1007/s12065-025-01083-1,0
